kinetic_energy,stopping_power,alpha_range,density,decay_energy,specific_activity,atomic_mass,,,,
1.0000E-03,1.3050E+02,2.5290E-06,2.699,,,,,,,
1.5000E-03,1.4470E+02,3.7040E-06,,,,,,,,
2.0000E-03,1.5640E+02,4.8950E-06,,,,,,,,
2.5000E-03,1.6670E+02,6.0940E-06,,,,,,,,
3.0000E-03,1.7610E+02,7.3000E-06,,,,,,,,
4.0000E-03,1.9350E+02,9.7170E-06,,,,,,,,
5.0000E-03,2.0950E+02,1.2130E-05,,,,,,,,
6.0000E-03,2.2450E+02,1.4520E-05,,,,,,,,
7.0000E-03,2.3890E+02,1.6890E-05,,,,,,,,
8.0000E-03,2.5270E+02,1.9220E-05,,,,,,,,
9.0000E-03,2.6610E+02,2.1530E-05,,,,,,,,
1.0000E-02,2.7900E+02,2.3790E-05,,,,,,,,
1.2500E-02,3.0980E+02,2.9310E-05,,,,,,,,
1.5000E-02,3.3880E+02,3.4600E-05,,,,,,,,
1.7500E-02,3.6640E+02,3.9690E-05,,,,,,,,
2.0000E-02,3.9270E+02,4.4580E-05,,,,,,,,
2.2500E-02,4.1790E+02,4.9290E-05,,,,,,,,
2.5000E-02,4.4210E+02,5.3840E-05,,,,,,,,
2.7500E-02,4.6550E+02,5.8240E-05,,,,,,,,
3.0000E-02,4.8800E+02,6.2500E-05,,,,,,,,
3.5000E-02,5.3090E+02,7.0640E-05,,,,,,,,
4.0000E-02,5.7110E+02,7.8350E-05,,,,,,,,
4.5000E-02,6.0880E+02,8.5680E-05,,,,,,,,
5.0000E-02,6.4440E+02,9.2690E-05,,,,,,,,
5.5000E-02,6.7790E+02,9.9410E-05,,,,,,,,
6.0000E-02,7.0950E+02,1.0590E-04,,,,,,,,
6.5000E-02,7.3930E+02,1.1210E-04,,,,,,,,
7.0000E-02,7.6740E+02,1.1820E-04,,,,,,,,
7.5000E-02,7.9390E+02,1.2410E-04,,,,,,,,
8.0000E-02,8.1890E+02,1.2980E-04,,,,,,,,
8.5000E-02,8.4250E+02,1.3540E-04,,,,,,,,
9.0000E-02,8.6480E+02,1.4090E-04,,,,,,,,
9.5000E-02,8.8580E+02,1.4620E-04,,,,,,,,
1.0000E-01,9.0560E+02,1.5150E-04,,,,,,,,
1.2500E-01,9.8940E+02,1.7640E-04,,,,,,,,
1.5000E-01,1.0530E+03,1.9990E-04,,,,,,,,
1.7500E-01,1.1030E+03,2.2220E-04,,,,,,,,
2.0000E-01,1.1420E+03,2.4380E-04,,,,,,,,
2.2500E-01,1.1740E+03,2.6480E-04,,,,,,,,
2.5000E-01,1.2000E+03,2.8540E-04,,,,,,,,
2.7500E-01,1.2220E+03,3.0560E-04,,,,,,,,
3.0000E-01,1.2390E+03,3.2560E-04,,,,,,,,
3.5000E-01,1.2660E+03,3.6480E-04,,,,,,,,
4.0000E-01,1.2840E+03,4.0340E-04,,,,,,,,
4.5000E-01,1.2940E+03,4.4170E-04,,,,,,,,
5.0000E-01,1.3000E+03,4.7980E-04,,,,,,,,
5.5000E-01,1.3010E+03,5.1790E-04,,,,,,,,
6.0000E-01,1.3000E+03,5.5600E-04,,,,,,,,
6.5000E-01,1.2950E+03,5.9420E-04,,,,,,,,
7.0000E-01,1.2890E+03,6.3260E-04,,,,,,,,
7.5000E-01,1.2810E+03,6.7120E-04,,,,,,,,
8.0000E-01,1.2710E+03,7.1010E-04,,,,,,,,
8.5000E-01,1.2610E+03,7.4930E-04,,,,,,,,
9.0000E-01,1.2500E+03,7.8890E-04,,,,,,,,
9.5000E-01,1.2380E+03,8.2890E-04,,,,,,,,
1.0000E+00,1.2260E+03,8.6920E-04,,,,,,,,
1.2500E+00,1.1630E+03,1.0770E-03,,,,,,,,
1.5000E+00,1.1000E+03,1.2980E-03,,,,,,,,
1.7500E+00,1.0400E+03,1.5310E-03,,,,,,,,
2.0000E+00,9.8590E+02,1.7770E-03,,,,,,,,
2.2500E+00,9.3850E+02,2.0360E-03,,,,,,,,
2.5000E+00,8.9620E+02,2.3080E-03,,,,,,,,
2.7500E+00,8.5760E+02,2.5920E-03,,,,,,,,
3.0000E+00,8.2170E+02,2.8900E-03,,,,,,,,
3.5000E+00,7.5680E+02,3.5230E-03,,,,,,,,
4.0000E+00,6.9910E+02,4.2090E-03,,,,,,,,
4.5000E+00,6.4830E+02,4.9510E-03,,,,,,,,
5.0000E+00,6.0530E+02,5.7480E-03,,,,,,,,
5.5000E+00,5.6830E+02,6.6000E-03,,,,,,,,
6.0000E+00,5.3610E+02,7.5040E-03,,,,,,,,
6.5000E+00,5.0780E+02,8.4620E-03,,,,,,,,
7.0000E+00,4.8270E+02,9.4700E-03,,,,,,,,
