kinetic_energy,stopping_power,alpha_range,density,decay_energy,specific_activity,atomic_mass
1.00E-03,3.370E+02,1.704E-06,1.42,,,
1.50E-03,3.557E+02,2.519E-06,,,,
2.00E-03,3.707E+02,3.349E-06,,,,
2.50E-03,3.840E+02,4.185E-06,,,,
3.00E-03,3.963E+02,5.025E-06,,,,
4.00E-03,4.190E+02,6.701E-06,,,,
5.00E-03,4.399E+02,8.366E-06,,,,
6.00E-03,4.596E+02,1.001E-05,,,,
7.00E-03,4.783E+02,1.164E-05,,,,
8.00E-03,4.960E+02,1.323E-05,,,,
9.00E-03,5.131E+02,1.481E-05,,,,
1.00E-02,5.295E+02,1.636E-05,,,,
1.25E-02,5.680E+02,2.012E-05,,,,
1.50E-02,6.036E+02,2.374E-05,,,,
1.75E-02,6.368E+02,2.723E-05,,,,
2.00E-02,6.681E+02,3.060E-05,,,,
2.25E-02,6.977E+02,3.386E-05,,,,
2.50E-02,7.259E+02,3.702E-05,,,,
2.75E-02,7.527E+02,4.009E-05,,,,
3.00E-02,7.785E+02,4.308E-05,,,,
3.50E-02,8.270E+02,4.883E-05,,,,
4.00E-02,8.721E+02,5.432E-05,,,,
4.50E-02,9.143E+02,5.958E-05,,,,
5.00E-02,9.542E+02,6.464E-05,,,,
5.50E-02,9.919E+02,6.953E-05,,,,
6.00E-02,1.028E+03,7.426E-05,,,,
6.50E-02,1.062E+03,7.885E-05,,,,
7.00E-02,1.095E+03,8.331E-05,,,,
7.50E-02,1.126E+03,8.765E-05,,,,
8.00E-02,1.156E+03,9.189E-05,,,,
8.50E-02,1.185E+03,9.603E-05,,,,
9.00E-02,1.212E+03,1.001E-04,,,,
9.50E-02,1.239E+03,1.040E-04,,,,
1.00E-01,1.265E+03,1.079E-04,,,,
1.25E-01,1.382E+03,1.264E-04,,,,
1.50E-01,1.483E+03,1.435E-04,,,,
1.75E-01,1.570E+03,1.596E-04,,,,
2.00E-01,1.645E+03,1.750E-04,,,,
2.25E-01,1.711E+03,1.897E-04,,,,
2.50E-01,1.769E+03,2.039E-04,,,,
2.75E-01,1.819E+03,2.178E-04,,,,
3.00E-01,1.863E+03,2.312E-04,,,,
3.50E-01,1.934E+03,2.574E-04,,,,
4.00E-01,1.986E+03,2.827E-04,,,,
4.50E-01,2.022E+03,3.075E-04,,,,
5.00E-01,2.046E+03,3.320E-04,,,,
5.50E-01,2.060E+03,3.562E-04,,,,
6.00E-01,2.066E+03,3.804E-04,,,,
6.50E-01,2.064E+03,4.045E-04,,,,
7.00E-01,2.057E+03,4.287E-04,,,,
7.50E-01,2.046E+03,4.530E-04,,,,
8.00E-01,2.031E+03,4.774E-04,,,,
8.50E-01,2.013E+03,5.021E-04,,,,
9.00E-01,1.993E+03,5.270E-04,,,,
9.50E-01,1.971E+03,5.522E-04,,,,
1.00E+00,1.948E+03,5.776E-04,,,,
1.25E+00,1.821E+03,7.100E-04,,,,
1.50E+00,1.690E+03,8.523E-04,,,,
1.75E+00,1.566E+03,1.006E-03,,,,
2.00E+00,1.453E+03,1.171E-03,,,,
2.25E+00,1.351E+03,1.350E-03,,,,
2.50E+00,1.265E+03,1.541E-03,,,,
2.75E+00,1.191E+03,1.745E-03,,,,
3.00E+00,1.126E+03,1.960E-03,,,,
3.50E+00,1.018E+03,2.428E-03,,,,
4.00E+00,9.305E+02,2.942E-03,,,,
4.50E+00,8.589E+02,3.501E-03,,,,
5.00E+00,7.988E+02,4.105E-03,,,,
5.50E+00,7.476E+02,4.752E-03,,,,
6.00E+00,7.033E+02,5.441E-03,,,,
6.50E+00,6.645E+02,6.173E-03,,,,
7.00E+00,6.302E+02,6.945E-03,,,,
