kinetic_energy,stopping_power,alpha_range,density,decay_energy,specific_activity,atomic_mass
1.00E-03,1.75E+01,,,5.4493,3.60E+11,238.049553
1.50E-03,2.15E+01,,,5.4563,1.46E+11,
2.00E-03,2.48E+01,,,5.3571,5.27E+08,
2.50E-03,2.78E+01,,,,,
3.00E-03,3.04E+01,,,,,
4.00E-03,3.52E+01,,,,,
5.00E-03,3.94E+01,,,,,
6.00E-03,4.32E+01,,,,,
7.00E-03,4.68E+01,,,,,
8.00E-03,5.01E+01,,,,,
9.00E-03,5.32E+01,,,,,
1.00E-02,5.62E+01,,,,,
1.25E-02,6.31E+01,,,,,
1.50E-02,6.94E+01,,,,,
1.75E-02,7.53E+01,,,,,
2.00E-02,8.09E+01,,,,,
2.25E-02,8.61E+01,,,,,
2.50E-02,9.11E+01,,,,,
2.75E-02,9.59E+01,,,,,
3.00E-02,1.01E+02,,,,,
3.50E-02,1.09E+02,,,,,
4.00E-02,1.18E+02,,,,,
4.50E-02,1.25E+02,,,,,
5.00E-02,1.33E+02,,,,,
5.50E-02,1.40E+02,,,,,
6.00E-02,1.47E+02,,,,,
6.50E-02,1.54E+02,,,,,
7.00E-02,1.60E+02,,,,,
7.50E-02,1.66E+02,,,,,
8.00E-02,1.72E+02,,,,,
8.50E-02,1.78E+02,,,,,
9.00E-02,1.84E+02,,,,,
9.50E-02,1.89E+02,,,,,
1.00E-01,1.95E+02,,,,,
1.25E-01,2.20E+02,,,,,
1.50E-01,2.43E+02,,,,,
1.75E-01,2.64E+02,,,,,
2.00E-01,2.83E+02,,,,,
2.25E-01,3.01E+02,,,,,
2.50E-01,3.17E+02,,,,,
2.75E-01,3.32E+02,,,,,
3.00E-01,3.45E+02,,,,,
3.50E-01,3.70E+02,,,,,
4.00E-01,3.90E+02,,,,,
4.50E-01,4.07E+02,,,,,
5.00E-01,4.20E+02,,,,,
5.50E-01,4.31E+02,,,,,
6.00E-01,4.39E+02,,,,,
6.50E-01,4.45E+02,,,,,
7.00E-01,4.49E+02,,,,,
7.50E-01,4.52E+02,,,,,
8.00E-01,4.53E+02,,,,,
8.50E-01,4.52E+02,,,,,
9.00E-01,4.51E+02,,,,,
9.50E-01,4.49E+02,,,,,
1.00E+00,4.46E+02,,,,,
1.25E+00,4.21E+02,,,,,
1.50E+00,3.91E+02,,,,,
1.75E+00,3.63E+02,,,,,
2.00E+00,3.40E+02,,,,,
2.25E+00,3.20E+02,,,,,
2.50E+00,3.04E+02,,,,,
2.75E+00,2.89E+02,,,,,
3.00E+00,2.77E+02,,,,,
3.50E+00,2.57E+02,,,,,
4.00E+00,2.42E+02,,,,,
4.50E+00,2.30E+02,,,,,
5.00E+00,2.19E+02,,,,,
5.50E+00,2.09E+02,,,,,
6.00E+00,2.01E+02,,,,,
6.50E+00,1.93E+02,,,,,
7.00E+00,1.86E+02,,,,,
7.50E+00,1.80E+02,,,,,
8.00E+00,1.74E+02,,,,,
8.50E+00,1.69E+02,,,,,
9.00E+00,1.64E+02,,,,,
9.50E+00,1.59E+02,,,,,
1.00E+01,1.55E+02,,,,,
1.25E+01,1.37E+02,,,,,
1.50E+01,1.24E+02,,,,,
1.75E+01,1.13E+02,,,,,
2.00E+01,1.05E+02,,,,,
2.50E+01,9.13E+01,,,,,
2.75E+01,8.60E+01,,,,,
3.00E+01,8.15E+01,,,,,
3.50E+01,7.39E+01,,,,,
4.00E+01,6.78E+01,,,,,
4.50E+01,6.27E+01,,,,,
5.00E+01,5.85E+01,,,,,
5.50E+01,5.49E+01,,,,,
6.00E+01,5.18E+01,,,,,
