kinetic_energy,stopping_power,alpha_range,density,decay_energy,specific_activity,atomic_mass,,,
1.00E-03,2.33E+01,7.0010E-06,9.32,5.40753,1.67E+14,209.98287,,,
1.50E-03,2.80E+01,9.3980E-06,,,,,,,
2.00E-03,3.19E+01,1.1680E-05,,,,,,,
2.50E-03,3.53E+01,1.3900E-05,,,,,,,
3.00E-03,3.83E+01,1.6070E-05,,,,,,,
4.00E-03,4.37E+01,2.0340E-05,,,,,,,
5.00E-03,4.83E+01,2.4540E-05,,,,,,,
6.00E-03,5.24E+01,2.8700E-05,,,,,,,
7.00E-03,5.62E+01,3.2840E-05,,,,,,,
8.00E-03,5.98E+01,3.6970E-05,,,,,,,
9.00E-03,6.31E+01,4.1080E-05,,,,,,,
1.00E-02,6.62E+01,4.5190E-05,,,,,,,
1.25E-02,7.33E+01,5.5420E-05,,,,,,,
1.50E-02,7.98E+01,6.5620E-05,,,,,,,
1.75E-02,8.58E+01,7.5770E-05,,,,,,,
2.00E-02,9.13E+01,8.5890E-05,,,,,,,
2.25E-02,9.65E+01,9.5960E-05,,,,,,,
2.50E-02,1.02E+02,1.0600E-04,,,,,,,
2.75E-02,1.06E+02,1.1590E-04,,,,,,,
3.00E-02,1.11E+02,1.2590E-04,,,,,,,
3.50E-02,1.19E+02,1.4550E-04,,,,,,,
4.00E-02,1.27E+02,1.6490E-04,,,,,,,
4.50E-02,1.35E+02,1.8410E-04,,,,,,,
5.00E-02,1.42E+02,2.0300E-04,,,,,,,
5.50E-02,1.48E+02,2.2170E-04,,,,,,,
6.00E-02,1.55E+02,2.4010E-04,,,,,,,
6.50E-02,1.61E+02,2.5830E-04,,,,,,,
7.00E-02,1.67E+02,2.7630E-04,,,,,,,
7.50E-02,1.73E+02,2.9400E-04,,,,,,,
8.00E-02,1.78E+02,3.1160E-04,,,,,,,
8.50E-02,1.83E+02,3.2890E-04,,,,,,,
9.00E-02,1.89E+02,3.4600E-04,,,,,,,
9.50E-02,1.94E+02,3.6290E-04,,,,,,,
1.00E-01,1.98E+02,3.7960E-04,,,,,,,
1.25E-01,2.21E+02,4.6040E-04,,,,,,,
1.50E-01,2.41E+02,5.3710E-04,,,,,,,
1.75E-01,2.59E+02,6.1030E-04,,,,,,,
2.00E-01,2.75E+02,6.8050E-04,,,,,,,
2.25E-01,2.89E+02,7.4810E-04,,,,,,,
2.50E-01,3.03E+02,8.1340E-04,,,,,,,
2.75E-01,3.15E+02,8.7680E-04,,,,,,,
3.00E-01,3.26E+02,9.3840E-04,,,,,,,
3.50E-01,3.44E+02,1.0570E-03,,,,,,,
4.00E-01,3.60E+02,1.1720E-03,,,,,,,
4.50E-01,3.72E+02,1.2820E-03,,,,,,,
5.00E-01,3.82E+02,1.3900E-03,,,,,,,
5.50E-01,3.90E+02,1.4960E-03,,,,,,,
6.00E-01,3.95E+02,1.6010E-03,,,,,,,
6.50E-01,4.00E+02,1.7050E-03,,,,,,,
7.00E-01,4.02E+02,1.8080E-03,,,,,,,
7.50E-01,4.04E+02,1.9110E-03,,,,,,,
8.00E-01,4.05E+02,2.0140E-03,,,,,,,
8.50E-01,4.05E+02,2.1170E-03,,,,,,,
9.00E-01,4.04E+02,2.2210E-03,,,,,,,
9.50E-01,4.03E+02,2.3260E-03,,,,,,,
1.00E+00,4.02E+02,2.4310E-03,,,,,,,
1.25E+00,3.93E+02,2.9790E-03,,,,,,,
1.50E+00,3.81E+02,3.5700E-03,,,,,,,
1.75E+00,3.66E+02,4.2090E-03,,,,,,,
2.00E+00,3.49E+02,4.8970E-03,,,,,,,
2.25E+00,3.32E+02,5.6320E-03,,,,,,,
2.50E+00,3.18E+02,6.4110E-03,,,,,,,
2.75E+00,3.05E+02,7.2320E-03,,,,,,,
3.00E+00,2.94E+02,8.0920E-03,,,,,,,
3.50E+00,2.75E+02,9.9210E-03,,,,,,,
4.00E+00,2.59E+02,1.1880E-02,,,,,,,
4.50E+00,2.45E+02,1.3960E-02,,,,,,,
5.00E+00,2.33E+02,1.6140E-02,,,,,,,
5.50E+00,2.23E+02,1.8430E-02,,,,,,,
6.00E+00,2.13E+02,2.0830E-02,,,,,,,
6.50E+00,4.45E+02,2.3320E-02,,,,,,,
7.00E+00,4.49E+02,2.5910E-02,,,,,,,
